"출입국항별","내외국인별","시점","성별","항목",데이터
"인천공항","내국인","2024","남자","입국자",118636
"인천공항","내국인","2024","남자","출국자",107361
"인천공항","내국인","2024","여자","입국자",117094
"인천공항","내국인","2024","여자","출국자",112053
"인천공항","내국인","2023","남자","입국자",97746
"인천공항","내국인","2023","남자","출국자",113276
"인천공항","내국인","2023","여자","입국자",95233
"인천공항","내국인","2023","여자","출국자",118599
"인천공항","내국인","2022","남자","입국자",98654
"인천공항","내국인","2022","남자","출국자",133287
"인천공항","내국인","2022","여자","입국자",86959
"인천공항","내국인","2022","여자","출국자",130722
"인천공항","내국인","2021","남자","입국자",108753
"인천공항","내국인","2021","남자","출국자",112505
"인천공항","내국인","2021","여자","입국자",79094
"인천공항","내국인","2021","여자","출국자",98314
"인천공항","내국인","2020","남자","입국자",215308
"인천공항","내국인","2020","남자","출국자",103601
"인천공항","내국인","2020","여자","입국자",192236
"인천공항","내국인","2020","여자","출국자",80683
"인천공항","내국인","2019","남자","입국자",130763
"인천공항","내국인","2019","남자","출국자",119872
"인천공항","내국인","2019","여자","입국자",126055
"인천공항","내국인","2019","여자","출국자",126747
"인천공항","내국인","2018","남자","입국자",134600
"인천공항","내국인","2018","남자","출국자",122582
"인천공항","내국인","2018","여자","입국자",132624
"인천공항","내국인","2018","여자","출국자",127123
"인천공항","내국인","2017","남자","입국자",132564
"인천공항","내국인","2017","남자","출국자",125305
"인천공항","내국인","2017","여자","입국자",121114
"인천공항","내국인","2017","여자","출국자",130748
"인천공항","내국인","2016","남자","입국자",136025
"인천공항","내국인","2016","남자","출국자",132641
"인천공항","내국인","2016","여자","입국자",124538
"인천공항","내국인","2016","여자","출국자",132421
"인천공항","내국인","2015","남자","입국자",138858
"인천공항","내국인","2015","남자","출국자",138947
"인천공항","내국인","2015","여자","입국자",124534
"인천공항","내국인","2015","여자","출국자",135295
"인천공항","외국인","2024","남자","입국자",213978
"인천공항","외국인","2024","남자","출국자",161611
"인천공항","외국인","2024","여자","입국자",169391
"인천공항","외국인","2024","여자","출국자",136567
"인천공항","외국인","2023","남자","입국자",238300
"인천공항","외국인","2023","남자","출국자",148900
"인천공항","외국인","2023","여자","입국자",181388
"인천공항","외국인","2023","여자","출국자",130769
"인천공항","외국인","2022","남자","입국자",220602
"인천공항","외국인","2022","남자","출국자",124034
"인천공항","외국인","2022","여자","입국자",172332
"인천공항","외국인","2022","여자","출국자",106797
"인천공항","외국인","2021","남자","입국자",106143
"인천공항","외국인","2021","남자","출국자",138749
"인천공항","외국인","2021","여자","입국자",111261
"인천공항","외국인","2021","여자","출국자",112458
"인천공항","외국인","2020","남자","입국자",107974
"인천공항","외국인","2020","남자","출국자",177105
"인천공항","외국인","2020","여자","입국자",111761
"인천공항","외국인","2020","여자","출국자",140424
"인천공항","외국인","2019","남자","입국자",189463
"인천공항","외국인","2019","남자","출국자",186041
"인천공항","외국인","2019","여자","입국자",163755
"인천공항","외국인","2019","여자","출국자",155902
"인천공항","외국인","2018","남자","입국자",229397
"인천공항","외국인","2018","남자","출국자",160929
"인천공항","외국인","2018","여자","입국자",189754
"인천공항","외국인","2018","여자","출국자",130711
"인천공항","외국인","2017","남자","입국자",210162
"인천공항","외국인","2017","남자","출국자",151742
"인천공항","외국인","2017","여자","입국자",174969
"인천공항","외국인","2017","여자","출국자",124441
"인천공항","외국인","2016","남자","입국자",186190
"인천공항","외국인","2016","남자","출국자",140489
"인천공항","외국인","2016","여자","입국자",153157
"인천공항","외국인","2016","여자","출국자",115002
"인천공항","외국인","2015","남자","입국자",170986
"인천공항","외국인","2015","남자","출국자",130335
"인천공항","외국인","2015","여자","입국자",143525
"인천공항","외국인","2015","여자","출국자",109977
